nombre,atc,estado,fecha_seguimiento,listado
ABACAVIR SOLUCION ORAL 20 mg / mL,J05AF06,monitorizacion,2026-02-24,activo
ACETAMINOFEN + CODEINA TABLETA 325 mg + 8 mg y 325 mg + 15 mg,N02AJ06,monitorizacion,2026-04-30,activo
ACETATO DE CIPROTERONA TABLETA 50 mg,G03HA01,monitorizacion,2025-12-31,activo
ACETATO DE TRIPTORELINA SOLUCION INYECTABLE 95.6 µG,L02AE04,monitorizacion,2025-12-31,activo
"ACETATO DE TRIPTORELINA POLVO ESTERIL PARA RECONSTITUIR A SUSPENSION INYECTABLE 3.75 mg, 11.25 mg y 22.5 mg",L02AE04,monitorizacion,2026-02-27,activo
ACICLOVIR TABLETA 200 mg Y 800 mg,J05AB01,monitorizacion,2026-04-24,activo
"ACIDO ACETILSALICILICO TABLETA 100 mg, 150 mg y 500 mg",N02BA01,monitorizacion,2026-04-30,activo
"ALENDRONATO SODICO, EQUIVALENTE A ACIDO ALENDRONICO TABLETA 70 mg",M05BA04,riesgo,2026-04-30,activo
ACIDO URSODESOXICOLICO CÁPSULA DURA Y TABLETA 300 mg y 600 mg,A05AA02,monitorizacion,2025-11-28,activo
ÁCIDO VALPROICO CÁPSULA DURA 250 mg,N03AG01,monitorizacion,2026-04-24,activo
ACIDO VALPROICO JARABE 250 mg/5 ml,N03AG01,monitorizacion,2026-04-24,activo
ÁCIDO VALPRÓICO SOLUCIÓN INYECTABLE 500 mg / 5 ml,N03AG01,monitorizacion,2026-04-30,activo
ÁCIDO VALPRÓICO TABLETA DE LIBERACIÓN PROLONGADA Y RETARDADA 250 mg y 500 mg,N03AG01,monitorizacion,2026-04-24,activo
ACIDO ZOLEDRONICO POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 4 mg / vial (5 ml),M05BA08,monitorizacion,2025-09-26,activo
"ACIDO ZOLEDRONICO SOLUCIÓN INYECTABLE 4 mg / 5 ml, 4 mg / 100 ml y 5 mg / 100 ml",M05BA08,monitorizacion,2025-10-31,activo
ADENOSINA SOLUCIÓN INYECTABLE 6 mg/ 2 ml (3 mg/ml),C01EB10,monitorizacion,2026-03-05,activo
ADRENALINA / EPINEFRINA SOLUCIÓN INYECTABLE 1 mg/ml,C01CA24,monitorizacion,2026-02-26,activo
ALBÚMINA HUMANA SOLUCIÓN INYECTABLE 20%,B05AA01,monitorizacion,2025-05-28,activo
"ALCOHOL POLIVINILICO SOLUCION OFTALMICA 1,4 g / 100 g (1,4%)",S01XA20,monitorizacion,2026-02-26,activo
ALOPURINOL TABLETA 300 mg,M04AA01,monitorizacion,2026-02-26,activo
ALOPURINOL TABLETA 100 mg,M04AA01,riesgo,2026-04-30,activo
"ALPRAZOLAM TABLETA 0,25 mg, 0.5 mg y 1 mg",N05BA12,monitorizacion,2026-04-30,activo
AMIODARONA CLORHIDRATO SOLUCION INYECTABLE 150 mg,C01BD01,monitorizacion,2026-02-27,activo
AMIODARONA CLORHIDRATO TABLETA 200 mg,C01BD01,monitorizacion,2025-12-29,activo
AMISULPRIDA TABLETA 200 mg,N05AL05,monitorizacion,2026-02-27,activo
"AMOXICILINA POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL 125 mg /5 ml, 250 mg / 5 ml, 500 mg/ 5 ml y 750 mg/ 5 ml",J01CA04,monitorizacion,2025-08-29,activo
ANAGRALIDA CAPSULA DURA 0.5 mg,L01XX35,monitorizacion,2025-11-28,activo
"ANFOTERICINA B LIPOSOMAL POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 100 mg / 20 ml, 50 mg / 10 ml",J02AA01,monitorizacion,2026-05-29,activo
ANTIACIDOS CON BICARBONATO DE SODIO GRANULOS EFERVESCENTES ANTIACIDOS CON BICARBONATO DE SODIO POLVO PARA RECONSTITUIR A SOLUCION ORAL,A02AH99,monitorizacion,2025-10-31,activo
ANTIACIDOS CON BICARBONATO DE SODIO + ALGINATO DE SODIO + CARBONATO DE CALCIO SUSPENSION ORAL (2.50 g + 2.67 g + 1.50 g) / Envase,A02AB10,monitorizacion,2026-02-27,activo
ANTIACIDOS CON BICARBONATO DE SODIO + ACIDO ACETIL SALICILICO + ACIDO CITRICO TABLETA EFERVESCENTE,A02AH01,monitorizacion,2025-10-31,activo
APIXABAN TABLETA 5 mg,B01AF02,monitorizacion,2026-02-27,activo
ARIPIPRAZOL TABLETA 30 mg,N05AX12,monitorizacion,2025-11-28,activo
ARIPIPRAZOL TABLETA 15 mg,N05AX12,monitorizacion,2025-11-28,activo
ASFOTASA ALFA SOLUCION INYECTABLE 40 mg / ml,A16AB13,monitorizacion,2026-05-29,activo
ATAZANAVIR CÁPSULA DURA 200 mg y 300 mg,J05AE08,monitorizacion,2026-04-20,activo
"ATOMOXETINA CÁPSULA DURA 10 mg, 25 mg, 40 mg y 60 mg",N06BA09,desabastecido,2026-04-30,activo
"ATORVASTATINA + EZETIMIBE TABLETA 10 mg + 10 mg, 10 mg + 20 mg, 10 mg + 40 mg y 20 mg + 10 mg",C10BA05,monitorizacion,2026-02-24,activo
