"Id","CodigoATC","PrincipioActivo","RankingBusqueda","Resumen","FormaFarmaceutica","Aclaracion","ITEM","PrincipioActivo_Min","FormaFarmaceutica_Min","CoberturaPlanBeneficiosUPC","CoberturaPlanBeneficiosUPC_Min"
"10457","G04BE10","AVANAFIL","630","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","100","avanafil","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10458","L01XC31","AVELUMAB","1540","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","101","avelumab","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10244","J05AF06","ABACAVIR","1660","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","1","abacavir","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10245","J05AR13","ABACAVIR + DOLUTEGRAVIR + LAMIVUDINA","5670","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","592","abacavir + dolutegravir + lamivudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10246","J05AR02","ABACAVIR + LAMIVUDINA","3150","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","591","abacavir + lamivudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10247","J05AR04","ABACAVIR + LAMIVUDINA + ZIDOVUDINA","3790","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","2","abacavir + lamivudina + zidovudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10248","L04AA24","ABATACEPT","2000","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","3","abatacept","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10249","L01EF03","ABEMACICLIB","3380","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","abemaciclib","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10250","L02BX03","ABIRATERONA","4270","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la upc todos los principios activos pertenecientes al subgrupo de referencia ATC L02BX - Otros antagonistas hormonales y agentes relacionados","1123","abiraterona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10251","L01EL02","ACALABRUTINIB","1170","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acalabrutinib","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
